지역코드,병원명,주소,전화번호,요양기관번호
110001,라프린의원,"서울특별시 강남구 삼성로 709, 지하1층,1층,6층일부 (청담동)",517-7811,JDQ4MTg4MSM1MSMkMiMkNCMkMDAkNDgxMzUxIzExIyQxIyQ3IyQ5OSQyNjE0ODEjNzEjJDEjJDgjJDgz
110001,레아산부인과의원,"서울특별시 강남구 강남대로 340, 4층 (역삼동, 경원빌딩)",02-558-5678,JDQ4MTg4MSM1MSMkMiMkNCMkMDAkNTgxMzUxIzIxIyQxIyQxIyQ3MiQyNjEwMDIjNjEjJDEjJDQjJDgz
110001,로즈산부인과의원,"서울특별시 강남구 논현로 841, 408,409호 (신사동, 제이비미소빌딩)",02-515-6282,JDQ4MTg4MSM1MSMkMiMkNCMkMDAkMzgxMTkxIzIxIyQyIyQxIyQwMCQzNjEyMjIjODEjJDEjJDYjJDgz
110001,로즈여성의원,"서울특별시 강남구 논현로115길 72, 2,3층 (논현동)",02-512-8900,JDQ4MTg4MSM1MSMkMiMkNCMkMDAkNDgxMTkxIzQxIyQxIyQ3IyQ5MiQyNjE0ODEjNTEjJDEjJDIjJDgz
110001,루미나산부인과의원,"서울특별시 강남구 테헤란로 139-1, (역삼동)",02-6273-7080,JDQ4MTg4MSM1MSMkMiMkNCMkMDAkNDgxNzAyIzMxIyQxIyQzIyQ2MiQzNjE0ODEjNjEjJDEjJDgjJDgz
110001,루쎄여성의원,"서울특별시 강남구 강남대로 432, 605호 (역삼동, 점프밀라노)",02-1833-8680,JDQ4MTg4MSM1MSMkMiMkNCMkMDAkNDgxNzAyIzExIyQxIyQzIyQxMyQ0NjEwMDIjNDEjJDEjJDgjJDgz
110001,루이샤의원,"서울특별시 강남구 학동로 501, 삼화와이즈빌딩 3층 (청담동)",02-515-7588,JDQ4MTg4MSM1MSMkMiMkMCMkMDAkNDgxNzAyIzMxIyQxIyQ3IyQ5OSQyNjE4MzIjNjEjJDEjJDgjJDgz
110001,리디아여성의원,"서울특별시 강남구 강남대로 432, 8층 801호 (역삼동, 점프밀라노)",02-3482-2300,JDQ4MTg4MSM1MSMkMiMkNCMkMDAkMzgxNzAyIzIxIyQyIyQxIyQwMCQzNjEwMDIjNjEjJDEjJDgjJDgz
110001,리디안의원,"서울특별시 강남구 논현로 836, 2,4층 (신사동)",02-6959-5508,JDQ4MTg4MSM1MSMkMiMkNCMkMDAkMzgxMzUxIzIxIyQyIyQ1IyQwMCQzNjE4MzIjNTEjJDEjJDIjJDgz
110001,리메이크강남의원,"서울특별시 강남구 학동로6길 36, B1,2,3,4,5층 (논현동)",02-6952-6240,JDQ4MTg4MSM1MSMkMiMkNCMkMDAkMzgxNzAyIzIxIyQxIyQ5IyQxMyQyNjEwMDIjNDEjJDEjJDQjJDgz
110001,리앤채움의원,"서울특별시 강남구 논현로 837, 원방빌딩 4층 (신사동)",02-539-3051,JDQ4MTg4MSM1MSMkMiMkNCMkMDAkMzgxMTkxIzQxIyQyIyQ3IyQwMCQyNjE0ODEjNDEjJDEjJDgjJDgz
110001,리즈산부인과의원,"서울특별시 강남구 도산대로 127, (신사동, 경서빌딩 3층, 4층일부)",02-540-8811,JDQ4MTg4MSM1MSMkMiMkMCMkMDAkNTgxOTYxIzQxIyQxIyQ3IyQxMyQ0NjEwMDIjNTEjJDEjJDYjJDgz
110001,리즈온위드연세슬림라인의원,"서울특별시 강남구 논현로 853, 4층 (신사동)",02-541-7767,JDQ4MTg4MSM1MSMkMiMkMCMkMDAkNTgxMzUxIzExIyQxIyQ3IyQxMyQyNjEyMjIjNTEjJDEjJDIjJDgz
110001,마이셀의원,"서울특별시 강남구 도산대로 108, 7층,8층 (논현동)",02-568-5959,JDQ4MTg4MSM1MSMkMiMkMCMkMDAkNTgxMzUxIzIxIyQxIyQxIyQ5MiQyNjE4MzIjNTEjJDEjJDIjJDgz
110001,모델라인의원,"서울특별시 강남구 봉은사로 218, KH타워 4~5층 (역삼동)",1899-4969,JDQ4MTg4MSM1MSMkMiMkOCMkMDAkMzgxOTYxIzMxIyQxIyQzIyQ2MiQyNjE4MzIjODEjJDEjJDYjJDgz
110001,무지개의원,"서울특별시 강남구 논현로 409, 2층 (역삼동)",,JDQ4MTg4MSM1MSMkMiMkNCMkMDAkMzgxMTkxIzIxIyQyIyQ5IyQwMCQzNjEwMDIjNTEjJDEjJDYjJDgz
110001,문기숙산부인과의원,"서울특별시 강남구 선릉로 513, (역삼동, APEXTOWER 4층 일부)",02-508-5601,JDQ4MTg4MSM1MSMkMiMkNCMkMDAkNDgxMzUxIzUxIyQxIyQ1IyQ5MiQyNjE0ODEjNjEjJDEjJDAjJDgz
110001,미녀사랑산부인과의원,"서울특별시 강남구 논현로85길 11, 7층 (역삼동)",02-2052-2010,JDQ4MTg4MSM1MSMkMiMkMCMkMDAkMzgxNzAyIzExIyQxIyQ3IyQ2MiQ0NjE0ODEjODEjJDEjJDIjJDgz
110001,미래와희망산부인과의원,"서울특별시 강남구 언주로 707, 지하1층~11층 (논현동)",02-3446-0011,JDQ4MTg4MSM1MSMkMiMkMCMkMDAkNTgxMzUxIzExIyQyIyQ3IyQwMCQyNjEyMjIjODEjJDEjJDYjJDgz
110001,미샹떼의원,"서울특별시 강남구 논현로 826, 제이와이(JY빌딩) 5층 (신사동)",02-5664-7588,JDQ4MTg4MSM1MSMkMiMkNCMkMDAkMzgxMTkxIzUxIyQxIyQxIyQwMyQyNjEyMjIjNDEjJDEjJDgjJDgz
110001,미예담산부인과의원,"서울특별시 강남구 학동로33길 7, (논현동, 4층 일부)",02-581-7500,JDQ4MTg4MSM1MSMkMiMkNCMkMDAkMzgxNzAyIzIxIyQxIyQxIyQ5MiQzNjEwMDIjNjEjJDEjJDQjJDgz
110001,미즈봄산부인과의원,"서울특별시 강남구 선릉로 227, (도곡동, 진달래상가) 3층 (도곡동)",02-6959-6040,JDQ4MTg4MSM1MSMkMiMkNCMkMDAkNDgxNzAyIzExIyQxIyQzIyQ2MiQ0NjEwMDIjNjEjJDEjJDQjJDgz
110001,바른길산부인과의원,"서울특별시 강남구 강남대로 528, 6층 (논현동)",,JDQ4MTg4MSM1MSMkMiMkNCMkMDAkNTgxOTYxIzUxIyQxIyQxIyQ5MiQ0NjEwMDIjODEjJDEjJDYjJDgz
110001,바른성모재활의학과의원,"서울특별시 강남구 봉은사로 302, 역삼아모제SK리더스뷰 2층 201~202호 (역삼동)",02-6191-8275,JDQ4MTg4MSM1MSMkMiMkOCMkMDAkMzgxOTYxIzMxIyQyIyQzIyQwMCQzNjEwMDIjODEjJDEjJDIjJDgz
110001,박선혜산부인과의원,"서울특별시 강남구 양재대로55길 7, 지하1층,4층 (일원동)",02-3411-3070,JDQ4MTg4MSM1MSMkMiMkMCMkMDAkNTgxOTYxIzIxIyQxIyQ1IyQ4MiQzNjEwMDIjNTEjJDEjJDYjJDgz
110001,밸런스웰가의원,"서울특별시 강남구 봉은사로 209, 12층 (논현동)",02-511-9565,JDQ4MTg4MSM1MSMkMiMkNCMkMDAkNDgxMzUxIzIxIyQxIyQ1IyQ2MiQyNjEyMjIjNDEjJDEjJDgjJDgz
110001,베스트오브미여성의원,"서울특별시 강남구 강남대로 390, 미진프라자 3층 (역삼동)",02-6287-3000,JDQ4MTg4MSM1MSMkMiMkOCMkMDAkMzgxOTYxIzUxIyQxIyQ1IyQ4MiQ0NjE0ODEjNDEjJDEjJDQjJDgz
110001,베스트웰김진왕성형외과의원,"서울특별시 강남구 압구정로 310, 고려빌딩 (301호일부,302호일부) (신사동)",511-3713,JDQ4MTg4MSM1MSMkMiMkMCMkMDAkNDgxOTYxIzMxIyQxIyQ3IyQ4OSQyNjEwMDIjNDEjJDEjJDgjJDgz
110001,베스트이화의원,"서울특별시 강남구 강남대로122길 47, 2층 (논현동)",02-544-2979,JDQ4MTg4MSM1MSMkMiMkNCMkMDAkNDgxOTYxIzQxIyQxIyQ3IyQ4OSQzNjEyMjIjNTEjJDEjJDIjJDgz
110001,보셀르의원,"서울특별시 강남구 선릉로152길 12, 담빌딩 2층 (청담동)",02-1599-8828,JDQ4MTg4MSM1MSMkMiMkNCMkMDAkNDgxNzAyIzExIyQxIyQ3IyQ3MiQ0NjEwMDIjODEjJDEjJDYjJDgz
110001,블리스의원,"서울특별시 강남구 봉은사로 116, 은성빌딩 4층 (역삼동)",02-556-7575,JDQ4MTg4MSM1MSMkMiMkOCMkMDAkMzgxMzUxIzIxIyQxIyQxIyQ4OSQyNjEwMDIjNjEjJDEjJDgjJDgz
110001,삼성더건강내과의원,"서울특별시 강남구 선릉로 34, 4층 (개포동)",02-6953-0815,JDQ4MTg4MSM1MSMkMiMkOCMkMDAkMzgxMzUxIzUxIyQxIyQ1IyQwMyQyNjEyMjIjNDEjJDEjJDQjJDgz
110001,삼성연세산부인과의원,"서울특별시 강남구 테헤란로 514, 4층 (대치동, 삼흥2빌딩)",569-2600,JDQ4MTg4MSM1MSMkMiMkNCMkMDAkMzgxMzUxIzMxIyQyIyQ3IyQwMCQyNjEwMDIjNTEjJDEjJDIjJDgz
110001,삼성퍼스티어산부인과의원,"서울특별시 강남구 선릉로 34, 8층 (개포동)",02-6239-5000,JDQ4MTg4MSM1MSMkMiMkOCMkMDAkMzgxOTYxIzIxIyQxIyQ1IyQ3OSQzNjE4MzIjNDEjJDEjJDQjJDgz
110001,서울ND(엔디)의원,"서울특별시 강남구 선릉로 641, 3층 302, 303호 (논현동)",02-3443-9920,JDQ4MTg4MSM1MSMkMiMkNCMkMDAkNDgxMzUxIzQxIyQxIyQ3IyQ3OSQzNjE4MzIjODEjJDEjJDIjJDgz
110001,서울대학교병원 강남의원,"서울특별시 강남구 테헤란로 152, (역삼동, 강남파이낸스센터 38층,39층, 3층일부)",2112-5500,JDQ4MTg4MSM1MSMkMiMkNCMkMDAkMzgxOTYxIzIxIyQxIyQxIyQ3MiQzNjEwMDIjNDEjJDEjJDQjJDgz
110001,서울리더스비뇨의학과의원,"서울특별시 강남구 테헤란로87길 13, 서영빌딩 10층 (삼성동)",02-6959-7084,JDQ4MTg4MSM1MSMkMiMkNCMkMDAkNTgxOTYxIzIxIyQxIyQ5IyQ2MiQyNjEwMDIjNjEjJDEjJDgjJDgz
110001,서울퍼틸리티여성의원,"서울특별시 강남구 강남대로 652, SINSA SQUARE 지층 101호 (신사동)",02-541-3535,JDQ4MTg4MSM1MSMkMiMkOCMkMDAkMzgxOTYxIzUxIyQxIyQ1IyQ5OSQyNjEyMjIjNDEjJDEjJDgjJDgz
110001,서울하이케어의원,"서울특별시 강남구 테헤란로 107, 메디타워 15층 (역삼동)",02-6328-7575,JDQ4MTg4MSM1MSMkMiMkNCMkMDAkNDgxNzAyIzMxIyQxIyQ3IyQ4MiQyNjEyMjIjNDEjJDEjJDgjJDgz
110001,설현욱신경과의원,"서울특별시 강남구 압구정로 151, 3동 203호 (압구정동)",02-512-1101,JDQ4MTg4MSM1MSMkMiMkMCMkMDAkNDgxNzAyIzIxIyQxIyQxIyQ3MiQzNjEwMDIjODEjJDEjJDYjJDgz
110001,세곡이화산부인과의원,"서울특별시 강남구 헌릉로 569, 강남리더스프라자 404호 (세곡동)",02-451-2220,JDQ4MTg4MSM1MSMkMiMkOCMkMDAkMzgxMzUxIzQxIyQxIyQ3IyQ3MiQzNjE0ODEjNDEjJDEjJDgjJDgz
110001,세상의반여성의원,"서울특별시 강남구 삼성로92길 29, 도일빌딩 3층 (삼성동)",02-555-7582,JDQ4MTg4MSM1MSMkMiMkOCMkMDAkMzgxMzUxIzMxIyQxIyQ3IyQxMyQ0NjE0ODEjNzEjJDEjJDgjJDgz
110001,셀러블153강남의원,"서울특별시 강남구 언주로 720, B1~B3층 (논현동)",02-511-8100,JDQ4MTg4MSM1MSMkMiMkNCMkMDAkNDgxMzUxIzUxIyQxIyQ1IyQ3OSQzNjEyMjIjNTEjJDEjJDIjJDgz
110001,셀피아의료생활협동조합셀피아의원,"서울특별시 강남구 언주로 413, 태현빌딩 1-2층 (역삼동)",02-1833-8899,JDQ4MTg4MSM1MSMkMiMkNCMkMDAkNDgxNzAyIzIxIyQxIyQxIyQ4MiQyNjEyMjIjNjEjJDEjJDQjJDgz
110001,소문난여성의원,"서울특별시 강남구 강남대로 528, 5층 (논현동)",02-514-4800,JDQ4MTg4MSM1MSMkMiMkNCMkMDAkNDgxMTkxIzMxIyQxIyQzIyQxMyQ0NjEwMDIjODEjJDEjJDIjJDgz
110001,수서나을산부인과의원,"서울특별시 강남구 광평로 280, 로즈데일오피스텔 2층 204호 (수서동)",02-2226-2939,JDQ4MTg4MSM1MSMkMiMkOCMkMDAkMzgxMzUxIzExIyQxIyQ3IyQ3OSQzNjE4MzIjNDEjJDEjJDgjJDgz
110001,순백의원,"서울특별시 강남구 학동로 342, 에스케이 허브블루 4층 407호 (논현동)",02-541-9979,JDQ4MTg4MSM1MSMkMiMkNCMkMDAkNDgxMTkxIzMxIyQxIyQzIyQwMyQyNjEwMDIjNjEjJDEjJDQjJDgz
110001,쉐라여성의원,"서울특별시 강남구 강남대로 546, 6층 (논현동, 삼양빌딩)",,JDQ4MTg4MSM1MSMkMiMkNCMkMDAkNDgxNzAyIzQxIyQxIyQ3IyQ5MiQyNjE0ODEjODEjJDEjJDIjJDgz
110001,쉬즈굿여성의원,"서울특별시 강남구 테헤란로64길 24, 2층 (대치동, 유경빌딩)",2052-7900,JDQ4MTg4MSM1MSMkMiMkNCMkMDAkNDgxMTkxIzIxIyQxIyQ5IyQ2MiQ0NjEwMDIjNjEjJDEjJDQjJDgz
110001,쉬즈웰산부인과의원,"서울특별시 강남구 논현로 823, B&S빌딩, 2층 (신사동)",02-564-2211,JDQ4MTg4MSM1MSMkMiMkNCMkMDAkMzgxMTkxIzIxIyQxIyQ1IyQ4MiQ0NjEwMDIjNDEjJDEjJDgjJDgz
110001,스타내과의원,"서울특별시 강남구 헌릉로 569, 4층 402호 (세곡동, 강남리더스프라자)",02-6265-9988,JDQ4MTg4MSM1MSMkMiMkNCMkMDAkNDgxMTkxIzMxIyQxIyQzIyQwMyQyNjEyMjIjNTEjJDEjJDYjJDgz
110001,신소애여성의원,"서울특별시 강남구 논현로 537, B2층, 2~5층 (역삼동)",02-3453-5712,JDQ4MTg4MSM1MSMkMiMkNCMkMDAkMzgxMzUxIzUxIyQxIyQ1IyQ2MiQzNjEwMDIjNDEjJDEjJDgjJDgz
110001,아니다웰니스의원,"서울특별시 강남구 선릉로 629, 지하1층, 지상3층, 5층, 6층, 7층 (논현동)",02-3445-9992,JDQ4MTg4MSM1MSMkMiMkMCMkMDAkNTgxMzUxIzUxIyQxIyQxIyQ3OSQyNjEyMjIjNDEjJDEjJDgjJDgz
