瘤痢疙,老矫,乞闭扁柯(∑C),弥历扁柯(∑C),弥绊扁柯(∑C),弥措 鉴埃 浅加(m/s),弥措 浅加(m/s),乞闭 浅加(m/s),乞闭 捞浇痢柯档(∑C),乞闭 刘扁拘(hPa),乞闭 泅瘤扁拘(hPa),乞闭 瘤搁柯档(∑C)
力林,2015-01-24,8,5,11,5.4,4,2.2,2.6,7.4,1023.7,7.1
力林,2015-01-25,11.6,6.9,15.8,4.9,3.3,1.7,5.9,9.7,1020,9.1
力林,2015-01-26,10.3,7.4,13.6,10.4,6.7,3.9,7.9,10.8,1017.8,9.8
力林,2015-01-27,5.6,3.3,7.6,10.4,6.9,4,0.1,6.2,1022.3,6.9
力林,2015-01-28,4.5,3.2,6.4,9.9,6.3,3,-2.4,5.1,1024.5,5.1
力林,2015-01-29,6.8,4.8,8.1,11.1,7,3.2,4.7,8.6,1021.9,5.9
力林,2015-01-30,5,3.6,6.7,15.8,9.6,5.8,-0.7,5.9,1023.6,4.4
力林,2015-01-31,3.4,2.7,5.1,14.2,7.8,4.4,-3.2,4.9,1029,2.8
力林,2015-02-01,4.1,0.6,7.7,6.1,3.6,2,-3.1,4.9,1029.9,4.6
力林,2015-02-02,6,4.3,9.3,6,3.8,2.3,-1.1,5.6,1028.1,6.9
力林,2015-02-03,6.2,2.8,9.6,9.4,5.3,2.8,0,6.1,1026.1,3.9
力林,2015-02-04,6.8,6,7.4,12.4,7.5,5,-1.2,5.6,1021.6,4.7
力林,2015-02-05,5.5,3.1,6.9,14.6,9.4,5.9,-1.4,5.5,1022.3,4.3
力林,2015-02-06,6.1,5,7.8,9.7,5.3,2.9,-1.2,5.6,1024.1,5.7
力林,2015-02-07,8,5.8,9.7,10.4,6,3.1,1.2,6.7,1019.8,7.5
力林,2015-02-08,1.7,-0.7,8.8,19.7,11.2,7.4,-3.4,4.9,1025,3.1
力林,2015-02-09,1.8,-0.3,3.6,15,7.6,5,-5.7,4,1027,3.4
力林,2015-02-10,7.1,2.5,9.4,10.7,6.4,4.4,-1.3,5.6,1019.6,5.8
力林,2015-02-11,8.9,5.8,12.3,10.9,6.6,3.8,-0.7,5.8,1012.8,8.9
力林,2015-02-12,7,4.6,10,14.1,8.5,5.3,-0.7,5.9,1013.5,9.2
力林,2015-02-13,4.7,3.3,8.1,11.1,6.6,3.9,-3,4.9,1019.2,7.3
力林,2015-02-14,8.4,3.1,14.4,9.3,6.5,2.2,0.1,6.2,1020.3,9.5
力林,2015-02-15,12.5,9,14.9,15.2,9.3,2.6,9,11.7,1015.2,9.5
力林,2015-02-16,11.8,9.8,14.4,11.7,7.3,3.7,9.9,12.3,1011.5,11.3
力林,2015-02-17,8.3,7.3,10,13.7,7.6,5.4,1.4,6.8,1016.8,8.4
力林,2015-02-18,6.5,5.5,7.4,13.1,7.8,5.7,0.2,6.2,1020.6,5
力林,2015-02-19,5.7,4,8.9,13.4,7.9,3.3,-1.8,5.4,1024.3,9.5
力林,2015-02-20,9.3,3.1,14.9,11.6,6.6,3,0.4,6.5,1022.3,9.9
力林,2015-02-21,11.9,9,17.3,11.6,6.4,2.8,9.6,12.1,1013.6,10.7
力林,2015-02-22,8.7,6.5,10.8,11.4,6.8,4,5,8.9,1016.7,9.9
力林,2015-02-23,6.9,5.4,9.8,7.2,4.5,2.9,0.9,6.5,1018.3,9.2
力林,2015-02-24,7.9,5.9,10.9,6.5,3.9,2.2,-0.5,6,1016.7,10.9
力林,2015-02-25,10.3,6.8,12.7,4.9,3.2,1.5,3.9,8.2,1016.4,8.7
力林,2015-02-26,8.8,4.9,11.6,9.4,5.9,3.4,2,7.4,1018.6,10.1
力林,2015-02-27,4.2,3.7,5.4,11.5,6.3,3.6,-3.7,4.6,1024.7,5.3
力林,2015-02-28,7.9,4.1,9.8,11.5,7.3,2.4,3.6,8,1020.7,6.1
力林,2015-03-01,7.3,5.9,9.2,12.2,7.3,5,1.8,7.1,1018.8,8.5
力林,2015-03-02,7,3.4,10.1,6.8,4.5,2.3,-2.3,5.2,1017.9,8.7
力林,2015-03-03,8.4,6.8,10.1,17.7,9.5,2.7,4.2,8.3,1011.4,7.2
力林,2015-03-04,4,3.2,6.8,16.2,9.7,6,-4.2,4.5,1021.3,4.8
力林,2015-03-05,5.4,2.8,7.1,10.3,5,3.1,-4.9,4.3,1023.2,7
力林,2015-03-06,8,6.3,9.3,4.8,3.1,1.3,4.2,8.3,1020.4,7.3
力林,2015-03-07,9.3,6.3,12.1,7.3,5.2,2.1,3.7,8,1020.3,8.2
力林,2015-03-08,10.7,4,16.1,11.5,5.8,2.7,2.3,7.3,1019.1,9.9
力林,2015-03-09,7.6,2,11.6,16.3,10.3,5.1,1.4,7,1020.3,9.7
力林,2015-03-10,2.9,0.2,4.1,18.6,10.9,7.2,-5.2,4.2,1025.6,4.9
力林,2015-03-11,7,3.3,9.7,14,7.4,5.5,-2.3,5.2,1022.5,9
力林,2015-03-12,8.3,6.2,11.3,11.9,6.9,3.7,-2.7,5.1,1020,12.7
力林,2015-03-13,11.5,4.7,17.7,11.1,6.2,3,2.3,7.6,1017.2,12.5
力林,2015-03-14,10.3,8.7,12.2,7.9,5,2.4,-0.5,6.2,1021.4,12.8
力林,2015-03-15,10.8,7.8,14,6,4.5,1.8,1.7,7,1019.7,14.2
力林,2015-03-16,13.5,9.9,17.1,10.3,6.5,2.3,5.6,9.4,1017.5,17.1
力林,2015-03-17,15.7,11.1,19.6,11.5,5.6,2.2,10.5,13.1,1013.7,18.1
力林,2015-03-18,17.1,13.9,20.6,16,8,3,15.4,17.5,1003.9,16.9
力林,2015-03-19,12.8,11.5,14.8,7.4,4.9,2.4,11.5,13.5,1011.1,15.1
力林,2015-03-20,12.9,11.3,16.5,6,4.4,2.3,8.3,11,1015.7,15.9
力林,2015-03-21,13.8,10.9,17.5,8.9,5.5,2.9,6.4,9.7,1015.5,15.2
力林,2015-03-22,12.3,9,16.5,6.9,4.9,3.2,4.3,8.4,1020.3,15.2
力林,2015-03-23,9.1,6.7,11.7,9.6,5.9,3.4,-1.9,5.4,1025.8,12.3
力林,2015-03-24,8.5,6,12,9,5.4,3.3,-2.9,5,1029.7,13.7
力林,2015-03-25,8.6,4.3,12.9,5.2,3,2,-2.2,5.4,1032.4,13.9
力林,2015-03-26,9.8,5.1,14.5,6.1,3.6,2.1,-0.3,6.1,1031.1,12.4
力林,2015-03-27,10.9,7.5,13.9,4.1,3,1.4,4.3,8.5,1024.5,12.3
力林,2015-03-28,12.8,10.2,15.7,5.3,3.5,1.5,7.4,10.3,1017.3,15.9
力林,2015-03-29,13.5,10.3,16.7,6.2,4.3,1.9,9.9,12.2,1015.6,16.4
力林,2015-03-30,14,10.7,17.9,5.8,4.3,1.5,12,14,1016.5,18
力林,2015-03-31,18.1,14.9,22.2,4.8,3.3,1.2,14.6,16.7,1011.5,17.5
力林,2015-04-01,15.4,14,19,13.7,6.2,3,13.8,15.8,1011.4,19.6
力林,2015-04-02,20.2,14,27.7,24.5,13.4,6.6,15.6,17.9,1003.7,19.1
力林,2015-04-03,12.6,10,22.1,18.2,9.1,4.1,10.5,12.9,1005.5,15.7
力林,2015-04-04,14.4,10,17.4,16.5,9,4.6,12.3,14.3,1008.9,13.8
力林,2015-04-05,13.2,12.3,14.4,9.3,4.7,2.3,12.2,14.2,1011,14.8
力林,2015-04-06,12.1,10,13.3,11.4,7.1,2.9,10.7,13,1015,12.6
力林,2015-04-07,10.3,8.7,12.6,9.8,6.5,2.5,5.5,9.1,1021,11.5
力林,2015-04-08,11,8.8,14.4,10.2,6.2,3,5.9,9.3,1022.8,14
力林,2015-04-09,12.1,9.3,14.5,10.6,7,3,5.6,9.1,1021.8,17.1
力林,2015-04-10,12.8,10.6,15.2,6,4.4,2.4,7.2,10.2,1020.1,19.2
力林,2015-04-11,13.5,9.5,17.6,11,6.5,2.8,6.3,9.8,1022.6,18.2
力林,2015-04-12,13.5,11.7,18.4,12.3,6.8,3.4,10.9,13,1019.3,14.6
力林,2015-04-13,12.1,8.9,14.5,11,6,3,9.8,12.2,1013.4,14.4
力林,2015-04-14,10.1,7,14.2,9.3,5.6,3.6,5,8.7,1006.8,9.2
力林,2015-04-15,15.6,10.1,20.3,12.6,7.7,4.7,5.6,9.2,1009.5,13.7
力林,2015-04-16,17.3,13.1,24.9,13.7,9.6,3,3.9,8.7,1010,17.5
力林,2015-04-17,14.1,10.1,18,9.5,6.7,2.5,0.1,6.8,1015.8,17.2
力林,2015-04-18,17.9,13,24.1,11.6,5.9,2,10.7,13.8,1010.7,16.7
力林,2015-04-19,18.5,15.5,23.9,13.1,6.4,2.8,15.7,17.8,1002.7,18.1
力林,2015-04-20,12.9,12,15.5,9.4,5.7,3.1,12,14,1003.7,13.9
力林,2015-04-21,14.2,12.5,17.5,5,3.3,2,9.9,12.4,1014.6,18.1
力林,2015-04-22,15.5,11.1,21.2,11.6,8.1,3.2,2.3,7.8,1018.1,17.3
力林,2015-04-23,15.5,11.8,19.2,5.9,3.9,1.7,8.5,11.2,1020.1,19.1
力林,2015-04-24,17.3,13.4,22,9,6.2,2.7,6.6,9.9,1018.5,19.3
力林,2015-04-25,17.2,13.6,23.6,6.1,4.8,1.9,7.3,10.6,1018.6,22.1
力林,2015-04-26,18.8,14.1,23.1,6.6,4.4,1.8,3.9,8.2,1018,22.4
力林,2015-04-27,19.5,14.9,23.1,5.2,3.7,1.6,6.1,9.7,1014.8,24.4
力林,2015-04-28,20.7,17.9,25.3,14,8.3,3.1,15,17.1,1008,24.1
力林,2015-04-29,17.7,15.4,22.1,9.7,6.8,2.3,15.9,18,1007,18.4
力林,2015-04-30,16.4,15.3,18.2,9,5.2,2.8,15,17.1,1010.1,17.2
力林,2015-05-01,18,15.5,21.4,9,5.9,2.4,15.3,17.4,1011.8,20.4
力林,2015-05-02,18.3,14.5,23.2,9.4,5.2,1.8,16,18.2,1008.4,21.2
力林,2015-05-03,18.1,14.8,22,9.1,5.9,2.6,16.5,18.8,1003.4,20.7
力林,2015-05-04,16.5,13.3,21.7,9.8,6.1,3.8,10.1,12.6,1009.9,21.5
力林,2015-05-05,14.8,11,18.5,6.4,4.2,2.2,3.9,8.1,1011,20.8
力林,2015-05-06,15.3,13.2,17.8,6,4.5,1.6,4.6,8.6,1009.8,16.1
力林,2015-05-07,17.2,13.2,21.7,6.6,4.4,2.2,4.7,8.7,1011.1,22.5
力林,2015-05-08,17.7,14.5,20.8,4.9,3.6,1.8,5.3,9.4,1011.1,21.2
力林,2015-05-09,17.5,15,20.7,9,6.8,2.7,11.8,13.9,1010.7,24
力林,2015-05-10,18,14.7,23,11.8,6.6,3,13.8,15.9,1014.9,24.4
力林,2015-05-11,19.8,15.9,23.1,15.8,8.6,4.5,16.3,18.6,1007.7,19.5
力林,2015-05-12,18.5,14,21.6,18.1,10.1,6.6,10.3,12.6,1004.4,20
力林,2015-05-13,23,19.2,27.3,17.3,9.7,5.8,8,10.9,1007,24.6
力林,2015-05-14,23.8,19.4,29.4,12.2,6.7,2.6,15,17.6,1007,25.6
力林,2015-05-15,19.7,17.3,23,7.2,4.6,1.9,17.3,19.8,1007.3,24.6
力林,2015-05-16,19,16.6,22.1,5.3,3.8,2.1,11.1,13.4,1008.7,23.9
力林,2015-05-17,19.3,16.1,26.4,9.9,6.7,2,8.4,11.2,1008.7,22.9
力林,2015-05-18,16.2,14.9,19,8.4,5,1.9,14.4,16.4,1003.3,17.5
力林,2015-05-19,16.3,14.8,19.3,5.8,4.2,2,14.9,16.9,1005.4,21.6
力林,2015-05-20,17.4,14.7,22.1,8.7,5.7,3.2,12.2,14.4,1008.4,24.4
力林,2015-05-21,18.4,14.1,22.8,6.1,4.1,2.1,10.7,12.9,1013.9,24.6
力林,2015-05-22,19.8,17,24.1,5.3,3.9,1.9,10.5,12.9,1012.7,26.2
力林,2015-05-23,18.8,17.4,21.7,6.4,4.1,1.8,12.3,14.4,1009.2,25.4
力林,2015-05-24,20.2,17.7,23.5,5.3,4.4,2.1,11.3,13.4,1006.9,26.9
力林,2015-05-25,20.1,17.1,23.6,6.8,4.5,2.3,9.2,11.8,1008,26.6
力林,2015-05-26,19.2,15.7,23.7,5.8,4.2,1.8,14.2,16.3,1009.8,27.7
力林,2015-05-27,20.5,17.4,23.4,5.1,3.7,1.6,13.6,15.9,1008.2,24.8
力林,2015-05-28,22.6,18,27.6,14,7.5,3.6,13.4,15.5,1006,28.2
力林,2015-05-29,21.3,19,25.3,10.8,7.8,3.1,16.3,18.5,1005.2,30.1
力林,2015-05-30,18.9,17.8,20.9,8.7,4.8,1.7,17.3,19.7,1002.8,20.9
力林,2015-05-31,19.7,17.6,23,4.9,3.6,1.7,16.3,18.5,1006.4,26.7
力林,2015-06-01,20.6,17.6,24.8,6.9,5.1,2.1,16.3,18.6,1008.3,27.4
力林,2015-06-02,20.2,18.5,21.8,9.9,6.4,1.8,18.3,21.1,1005.4,22.6
力林,2015-06-03,21.4,18.5,25.5,9.3,5,2.5,14.3,16.5,1006.2,25
力林,2015-06-04,20.6,17.6,23.9,5.2,3.6,1.8,13.2,15.3,1008.4,26.3
力林,2015-06-05,17.2,15.4,22.2,6.6,4.8,1.9,14.2,16.3,1004.9,20
力林,2015-06-06,19.9,15.3,26.3,7.8,4.9,2,15.1,17.2,1010.8,23.3
力林,2015-06-07,21.7,18,26,10.5,6.4,1.9,15.5,17.6,1010.4,23.6
力林,2015-06-08,20.9,18.5,24,10.5,6.5,2.4,17.7,20.3,1004.2,21.9
力林,2015-06-09,21.2,18.5,24.2,4.4,3,1.4,18.7,21.6,1005.2,25.2
力林,2015-06-10,22.9,18.1,28.9,10.2,6,2.1,18.4,21.2,1004.7,25.6
力林,2015-06-11,22.6,20.2,26.5,7.7,4.4,1.7,20.5,24.1,1000.8,24.3
力林,2015-06-12,26,21.9,30.6,8.4,5.3,2.4,17.5,20.2,1003.2,29.8
力林,2015-06-13,24.1,21.5,28.7,9.8,5.7,1.8,17.4,19.9,1004.6,25.3
力林,2015-06-14,22.9,20.9,25.4,5.2,3.7,1.4,19.8,23.1,1005.2,30.3
力林,2015-06-15,22.8,20.9,25.3,6,4.2,2,19.1,22.1,1005.8,28.1
力林,2015-06-16,22.2,21.1,25.3,8.3,5.4,2.6,19.4,22.5,1004,27.5
力林,2015-06-17,20.6,19.6,21.6,10.5,5.3,2,18.5,21.3,1001.6,21.5
力林,2015-06-18,22,19.7,25.6,9.8,5,2.5,18.3,21,1002.8,23.1
力林,2015-06-19,22.9,19.9,25.8,7.2,5.1,2.1,18.3,21,1006.6,27.8
力林,2015-06-20,22,19.4,24.2,5.5,4.1,1.6,18.1,20.8,1007.6,24
力林,2015-06-21,22.1,20.5,24.6,6,4,2.3,18.3,21.1,1008.3,28.8
力林,2015-06-22,21.7,20.5,24.3,5.1,3.9,1.5,18.2,20.9,1008.4,22.9
力林,2015-06-23,23.5,20.9,26.9,11,5.5,2.4,19.7,23,1007.6,28.9
力林,2015-06-24,22.1,21.1,23.2,12.8,6.7,3.1,20.5,24.1,1005.5,22.5
力林,2015-06-25,23.6,21.5,25.9,13.1,6.1,3.3,21.5,25.7,998.7,23.6
力林,2015-06-26,23.5,21.2,27.8,16.6,8.8,5.4,20.8,24.7,996.7,23.2
力林,2015-06-27,21.2,20.5,22.2,6,3.7,2,19.4,22.6,1004,21.1
力林,2015-06-28,22,19.8,25.9,10.9,5.4,3.2,17.6,20.1,1007.4,24
力林,2015-06-29,22.3,19.2,25.8,12.8,7.2,2.4,18.1,20.8,1004.9,24.5
力林,2015-06-30,21.9,19.6,26.4,12.9,7.6,2.5,20.9,24.8,995.4,22.9
力林,2015-07-01,22.9,20.5,26.3,9.7,6.4,3.8,19.8,23.1,997.3,25
力林,2015-07-02,22.9,19.6,25.5,4.9,3.5,1.8,17,19.6,1001.1,24.6
力林,2015-07-03,23.9,21.6,26,4.9,3.4,2,19.4,22.8,1004.2,26.6
力林,2015-07-04,22.5,21.3,24.4,8,5.4,2,18.2,21.2,1007.6,26.8
力林,2015-07-05,22,20.5,24.2,8,5.6,2.4,18.4,21.2,1009.2,24.7
力林,2015-07-06,21.4,20.3,23.5,8.6,4.8,2.5,18.7,21.6,1008.7,22.6
力林,2015-07-07,20.7,19.1,22.3,11.4,7,3.5,19.9,23.2,1004.7,20.7
力林,2015-07-08,25.8,19.9,31.6,5.6,3.9,1.6,23.2,28.5,1005.8,26.1
力林,2015-07-09,24.9,22.8,29,11.8,6.6,3.5,22.3,26.9,1009.7,26.9
力林,2015-07-10,23.6,22.1,25.2,11.3,5.7,3.9,21.7,26,1009.3,24.3
力林,2015-07-11,24.3,23,26.4,17.9,8.9,4.7,22.9,28,1002.7,23.7
力林,2015-07-12,26.5,23.8,28.7,21.8,11.1,5.7,23.1,28.4,991.2,24.7
力林,2015-07-13,27.8,23.4,33,19.1,10.9,6.3,20.9,24.8,998.3,27.4
力林,2015-07-14,26.5,24.1,29.9,5.9,4.2,1.9,21.3,25.4,1002.6,29.2
力林,2015-07-15,25.2,22.4,27.9,9.4,6.4,2.7,21.9,26.3,1003,31.2
力林,2015-07-16,24.8,22.1,28.6,10.4,5.7,3.4,19.6,22.8,1002.3,31.6
力林,2015-07-17,24.2,21.6,26.7,5.1,4.1,2,20.7,24.5,1003.4,29.6
力林,2015-07-18,25,22.8,29.2,10.3,6.6,2.9,19.5,22.6,1006.2,33.5
力林,2015-07-19,25.6,22.7,29.8,10.5,6.5,3.5,22.3,26.9,1006.5,35
力林,2015-07-20,24.3,22.8,27.1,8.7,5.8,3.3,22.5,27.2,1005.6,32.9
力林,2015-07-21,24.3,22.8,27.4,6,4.7,1.7,22.9,27.9,1004.7,30.1
力林,2015-07-22,26.5,23.7,28.2,15.4,8,2.3,24.3,30.3,1004.3,27
力林,2015-07-23,30.4,27.7,34.1,14.5,7.5,5.1,23.3,28.6,1005.7,30.2
力林,2015-07-24,29.5,27.2,32.5,16,8.9,5.4,23.7,29.3,1004.5,31.5
力林,2015-07-25,29.1,26.3,33.8,10.8,6.9,3.3,22.5,27.2,1004.9,35
力林,2015-07-26,27.5,25.6,29.7,10.5,7.2,2.9,22.7,27.6,1005.6,34.9
力林,2015-07-27,27.8,25.9,31.1,8.7,5.4,2,24.2,30.3,1006.8,35.5
力林,2015-07-28,27.6,25.9,30.9,5,3.7,1.8,25.4,32.4,1006.9,35.6
力林,2015-07-29,30.5,25.8,36.7,10.5,6.2,2.6,24.9,31.4,1006.2,37.9
力林,2015-07-30,28.1,26.5,30.4,6.4,4.7,2.4,24.9,31.5,1007.6,36.2
力林,2015-07-31,28.1,25.4,33.6,9.3,6.5,2.2,24.6,31,1008.1,37
力林,2015-08-01,27.9,24.8,30.5,7.6,5.2,2.1,23.9,29.6,1008.8,36.6
力林,2015-08-02,28.6,24.7,32,7.1,4.7,2.1,22.8,27.8,1009.3,37.1
力林,2015-08-03,28,24.9,30.6,7.5,5.5,2.5,22.7,27.6,1008.4,36.6
力林,2015-08-04,28.4,25.5,31.6,8,5.6,2.2,22.7,27.6,1006.7,36.6
力林,2015-08-05,28.1,25.7,30.7,7.2,5,2.3,23.5,29,1006.9,35.4
力林,2015-08-06,29.2,25.9,35.5,7.3,4.4,1.6,23.4,28.7,1008.9,37.7
力林,2015-08-07,29.7,26.9,33.8,11.5,6.4,3,23.2,28.5,1011.3,34.5
力林,2015-08-08,27.5,26.2,30.3,12.4,8.5,2.9,24.3,30.5,1010.8,30.8
力林,2015-08-09,27.8,25,30.3,6,4.2,2,23.7,29.3,1008.7,34
力林,2015-08-10,28,26.2,30.3,4.9,2.8,1.7,21.5,25.9,1007.4,31.9
力林,2015-08-11,27.2,23.7,30,17.4,10.4,2.2,21.5,26,1003.3,28.6
力林,2015-08-12,25.2,23.9,26.4,10.7,7.5,3.2,23.1,28.3,1000.6,25.1
力林,2015-08-13,27,25.2,30.2,7.2,4.8,3.1,22.4,27.2,1004.3,27.8
力林,2015-08-14,26.5,25.1,29.4,5.3,3.4,2.1,21.5,25.7,1004.6,32.1
力林,2015-08-15,27.2,23.7,31.8,9,5.7,2.4,21.2,25.3,1005.5,32.8
力林,2015-08-16,25.5,22.8,28.1,9.3,5.7,2.8,23.2,28.5,1003.6,27.5
力林,2015-08-17,25.2,22.9,27.9,7.2,4.9,2.6,21.2,25.2,1005.5,28.3
力林,2015-08-18,26.1,24.5,27.9,11.1,6.7,3.2,22.3,26.8,1009.2,27.9
力林,2015-08-19,25.9,24.6,28.8,9,4.6,2.5,23.4,28.8,1009.4,26.9
力林,2015-08-20,26,24.3,29.3,7,5.3,1.8,24,29.8,1006.1,27.1
力林,2015-08-21,26,24.5,28.8,12.7,7.2,3.2,22.5,27.2,1002.1,27.6
力林,2015-08-22,25.2,23.8,26.6,3.8,2.5,1.3,21,24.9,1004.2,25.1
力林,2015-08-23,25.4,23.6,27.6,4.9,3.6,1.8,21.6,25.9,1004.4,25.9
力林,2015-08-24,24.5,22.2,25.9,18.6,10.2,4.4,22.5,27.3,1000.5,24.2
力林,2015-08-25,22.8,20.4,25.2,13.6,8,3,21,24.8,997.3,23.4
力林,2015-08-26,24.8,22.8,27.6,7.6,4.8,3,19.4,22.6,1004.8,27
力林,2015-08-27,25.5,21.6,28.6,8.1,5.3,2.8,19.5,22.8,1006.9,27.9
力林,2015-08-28,25.7,22.1,28.4,8.5,4.9,2.1,20.9,24.7,1007,31
力林,2015-08-29,24.8,23,27.5,6.5,4.7,2,20.1,23.6,1006.8,29.5
力林,2015-08-30,24.7,22.6,27.3,6.1,4.6,1.9,20,23.4,1008.4,26.6
力林,2015-08-31,24.9,23.3,28,9.7,6,2.8,21.8,26.1,1007.7,25.4
力林,2015-09-01,24.8,23.2,26.9,7.3,5.2,2.3,20.5,24.2,1007.7,29.3
力林,2015-09-02,25.4,22.7,28.4,5.8,4.1,1.7,20.7,24.6,1009.7,28.6
力林,2015-09-03,26.1,24.1,28.6,10.1,6.1,3.2,20.5,24.2,1009.9,31.4
力林,2015-09-04,25.1,22.6,28.3,5.1,3.7,1.8,19.7,22.9,1011,32.9
力林,2015-09-05,23.3,21.2,25.6,13.1,7.9,2.1,19,22,1004.8,24.4
力林,2015-09-06,23.2,20.7,26.1,12.3,7.2,2.5,20,23.4,1002.5,26.4
力林,2015-09-07,23.1,21.5,25.1,9.8,6.4,3.1,17.7,20.3,1008.5,24.6
力林,2015-09-08,22.5,19.7,24.5,10.7,6.6,3,15.7,17.8,1011.9,25.4
力林,2015-09-09,22.5,20,25.7,9.3,6.1,3,14.2,16.2,1012.7,28
力林,2015-09-10,23.2,19.6,26.2,5.5,3.8,2.2,16.5,19,1011.8,28.7
力林,2015-09-11,23.9,19.5,27.2,6.7,4.2,2.6,17.1,19.7,1009.5,29
力林,2015-09-12,22.4,20.9,24.1,11,6.1,3.4,17.9,20.6,1009.3,21.9
力林,2015-09-13,22.5,19.6,25.1,8.3,5,2.9,13.7,15.7,1015.3,22.3
力林,2015-09-14,22.6,19.5,26.6,10.9,6.2,2.8,15.2,17.3,1017.8,23.6
力林,2015-09-15,22.3,20.6,25,12.7,6.8,3.4,17.6,20.2,1015.9,23.1
力林,2015-09-16,21.1,20,22.2,11.5,5.8,3.1,18.7,21.6,1013.1,20.8
力林,2015-09-17,22.5,19.9,25,7.5,5.2,2.3,17.2,19.7,1013.1,24.3
力林,2015-09-18,22.7,20.7,25,7.9,5.4,2.3,16.5,18.8,1014.1,26.4
力林,2015-09-19,22.4,19.9,25.8,5.6,4,1.9,14.7,16.8,1012,27
力林,2015-09-20,22.6,18.4,25.1,4.9,3.6,1.9,16.5,18.9,1010.5,25.4
力林,2015-09-21,23.3,20.4,26.8,9.7,5.8,2.5,17.6,20.2,1011.5,28
力林,2015-09-22,23.9,20.6,27.8,11.9,6,3.1,18.9,21.9,1012.2,28.3
力林,2015-09-23,22.3,20.7,24.3,16,7.4,3.6,20.2,23.7,1005.3,22.3
力林,2015-09-24,22.9,20.9,24.8,13.5,9.4,3.7,19,22,1003.6,22.6
力林,2015-09-25,23.2,21.5,25.5,6.9,4.9,1.9,18.1,20.8,1005,24.4
力林,2015-09-26,23.3,20.5,25.9,6.6,4.2,1.7,18.6,21.4,1008.7,25.5
力林,2015-09-27,22.9,20.8,25.8,10.4,6.1,2.8,18.6,21.4,1011.6,25.9
力林,2015-09-28,23.6,20.8,27.5,12.1,7.4,3.2,18.9,21.9,1015,27.2
力林,2015-09-29,24,22.5,27.3,11.9,7.6,3.6,19,21.9,1018.6,26.7
力林,2015-09-30,20.9,18.6,23.3,13.9,6.4,3.9,18.7,21.5,1016.7,21.1
力林,2015-10-01,23.6,19.1,27.5,18.7,10.2,6.4,20.3,24.4,1004.9,22.4
力林,2015-10-02,19.4,17.5,22.5,15.4,9.2,3.6,9.2,11.7,1014.9,18.9
力林,2015-10-03,21.1,18,24.7,6.6,4.2,2.7,14.4,16.5,1018.8,22.8
力林,2015-10-04,21.3,19.1,24.8,8.2,5.1,2.1,13.1,15.2,1022.3,22.9
力林,2015-10-05,20.9,18,24.3,8.5,5.8,2.4,13.5,15.6,1020.6,24.8
力林,2015-10-06,20.3,17.1,23.1,6.5,4.4,2.5,13.1,15.2,1018.1,24
