瘤痢,瘤痢疙,老矫,乞闭扁柯(∑C),弥历扁柯(∑C),弥绊扁柯(∑C),老碍荐樊(mm),弥措 鉴埃 浅加(m/s),弥措 浅加(m/s),乞闭 浅加(m/s),乞闭 捞浇痢柯档(∑C),弥家 惑措嚼档(%),乞闭 惑措嚼档(%),乞闭 刘扁拘(hPa),乞闭 泅瘤扁拘(hPa),弥历 秦搁扁拘(hPa),乞闭 秦搁扁拘(hPa),老 弥缴脚利汲(cm),乞闭 傈款樊(1/10),乞闭 瘤搁柯档(∑C)
184,力林,2015-03-04,4,3.2,6.8,0,16.2,9.7,6,-4.2,47,54.8,4.5,1021.3,1017.7,1023.9,0,8,4.8
184,力林,2015-03-05,5.4,2.8,7.1,0,10.3,5,3.1,-4.9,36,48.1,4.3,1023.2,1023.7,1025.7,0,5.3,7
184,力林,2015-03-06,8,6.3,9.3,1.5,4.8,3.1,1.3,4.2,47,77.6,8.3,1020.4,1021.3,1022.9,0,10,7.3
184,力林,2015-03-07,9.3,6.3,12.1,0,7.3,5.2,2.1,3.7,56,68.4,8,1020.3,1021.2,1022.8,0,6.6,8.2
184,力林,2015-03-08,10.7,4,16.1,0,11.5,5.8,2.7,2.3,43,56.9,7.3,1019.1,1019,1021.6,0,4.3,9.9
184,力林,2015-03-09,7.6,2,11.6,9.5,16.3,10.3,5.1,1.4,48,65.1,7,1020.3,1018.7,1022.8,0,6.1,9.7
184,力林,2015-03-10,2.9,0.2,4.1,0.2,18.6,10.9,7.2,-5.2,44,55.5,4.2,1025.6,1027.1,1028.2,0,7.5,4.9
184,力林,2015-03-11,7,3.3,9.7,0,14,7.4,5.5,-2.3,40,51.8,5.2,1022.5,1022.8,1025,0,6.3,9
184,力林,2015-03-12,8.3,6.2,11.3,0,11.9,6.9,3.7,-2.7,26,47.3,5.1,1020,1021.1,1022.5,0,1.6,12.7
184,力林,2015-03-13,11.5,4.7,17.7,0,11.1,6.2,3,2.3,35,55,7.6,1017.2,1018,1019.7,0,3,12.5
184,力林,2015-03-14,10.3,8.7,12.2,0,7.9,5,2.4,-0.5,29,50.1,6.2,1021.4,1021,1023.9,0,6.8,12.8
184,力林,2015-03-15,10.8,7.8,14,0,6,4.5,1.8,1.7,35,53.8,7,1019.7,1020.8,1022.2,0,4,14.2
184,力林,2015-03-16,13.5,9.9,17.1,0,10.3,6.5,2.3,5.6,43,60,9.4,1017.5,1017.9,1019.9,0,3.5,17.1
184,力林,2015-03-17,15.7,11.1,19.6,0,11.5,5.6,2.2,10.5,51,71.9,13.1,1013.7,1012.4,1016.1,0,5.1,18.1
184,力林,2015-03-18,17.1,13.9,20.6,60.5,16,8,3,15.4,75,90.3,17.5,1003.9,1002.4,1006.3,0,9.8,16.9
184,力林,2015-03-19,12.8,11.5,14.8,4.2,7.4,4.9,2.4,11.5,82,92.3,13.5,1011.1,1006.6,1013.5,0,8.4,15.1
184,力林,2015-03-20,12.9,11.3,16.5,0.2,6,4.4,2.3,8.3,42,74.9,11,1015.7,1016.7,1018.2,0,6.9,15.9
184,力林,2015-03-21,13.8,10.9,17.5,0,8.9,5.5,2.9,6.4,28,62.4,9.7,1015.5,1016.8,1018,0,1.8,15.2
184,力林,2015-03-22,12.3,9,16.5,0,6.9,4.9,3.2,4.3,34,59.6,8.4,1020.3,1019.2,1022.8,0,0,15.2
184,力林,2015-03-23,9.1,6.7,11.7,0,9.6,5.9,3.4,-1.9,19,47.9,5.4,1025.8,1026.6,1028.3,0,2.5,12.3
184,力林,2015-03-24,8.5,6,12,0,9,5.4,3.3,-2.9,30,45.3,5,1029.7,1030.1,1032.2,0,0.1,13.7
184,力林,2015-03-25,8.6,4.3,12.9,0,5.2,3,2,-2.2,32,47.3,5.4,1032.4,1033.4,1035,0,0.1,13.9
184,力林,2015-03-26,9.8,5.1,14.5,0,6.1,3.6,2.1,-0.3,27,50.1,6.1,1031.1,1031.3,1033.6,0,1.5,12.4
184,力林,2015-03-27,10.9,7.5,13.9,0,4.1,3,1.4,4.3,48,64.6,8.5,1024.5,1023.9,1027,0,9,12.3
184,力林,2015-03-28,12.8,10.2,15.7,0,5.3,3.5,1.5,7.4,50,70.8,10.3,1017.3,1017.2,1019.7,0,4.3,15.9
184,力林,2015-03-29,13.5,10.3,16.7,0,6.2,4.3,1.9,9.9,60,80.3,12.2,1015.6,1016.6,1018,0,5.8,16.4
184,力林,2015-03-30,14,10.7,17.9,0,5.8,4.3,1.5,12,74,88,14,1016.5,1017.9,1018.9,0,7.4,18
184,力林,2015-03-31,18.1,14.9,22.2,0.7,4.8,3.3,1.2,14.6,67,80.5,16.7,1011.5,1010.8,1013.9,0,8,17.5
184,力林,2015-04-01,15.4,14,19,0,13.7,6.2,3,13.8,78,90.5,15.8,1011.4,1011.3,1013.8,0,8.1,19.6
184,力林,2015-04-02,20.2,14,27.7,0.9,24.5,13.4,6.6,15.6,54,75.4,17.9,1003.7,999.4,1006.1,0,6.3,19.1
184,力林,2015-04-03,12.6,10,22.1,7.8,18.2,9.1,4.1,10.5,74,87.4,12.9,1005.5,1000.3,1007.9,0,9.8,15.7
184,力林,2015-04-04,14.4,10,17.4,10.5,16.5,9,4.6,12.3,76,87.6,14.3,1008.9,1007.6,1011.3,0,9.1,13.8
184,力林,2015-04-05,13.2,12.3,14.4,3.9,9.3,4.7,2.3,12.2,88,94,14.2,1011,1011.3,1013.5,0,10,14.8
184,力林,2015-04-06,12.1,10,13.3,36.6,11.4,7.1,2.9,10.7,70,91.4,13,1015,1012.7,1017.5,0,10,12.6
184,力林,2015-04-07,10.3,8.7,12.6,0,9.8,6.5,2.5,5.5,59,72.9,9.1,1021,1021.4,1023.5,0,9,11.5
184,力林,2015-04-08,11,8.8,14.4,0,10.2,6.2,3,5.9,59,71.4,9.3,1022.8,1024,1025.3,0,7.6,14
184,力林,2015-04-09,12.1,9.3,14.5,0,10.6,7,3,5.6,55,65.1,9.1,1021.8,1022.5,1024.3,0,4.1,17.1
184,力林,2015-04-10,12.8,10.6,15.2,0,6,4.4,2.4,7.2,60,69.5,10.2,1020.1,1021,1022.6,0,1.9,19.2
184,力林,2015-04-11,13.5,9.5,17.6,0,11,6.5,2.8,6.3,28,63.8,9.8,1022.6,1023.8,1025.1,0,2,18.2
184,力林,2015-04-12,13.5,11.7,18.4,15.6,12.3,6.8,3.4,10.9,65,84.6,13,1019.3,1019.7,1021.7,0,8.9,14.6
184,力林,2015-04-13,12.1,8.9,14.5,15.1,11,6,3,9.8,76,86.6,12.2,1013.4,1012.8,1015.9,0,9.9,14.4
184,力林,2015-04-14,10.1,7,14.2,2.5,9.3,5.6,3.6,5,45,72,8.7,1006.8,1006.9,1009.3,0,6.9,9.2
184,力林,2015-04-15,15.6,10.1,20.3,0,12.6,7.7,4.7,5.6,27,54.8,9.2,1009.5,1009.9,1011.9,0,3.6,13.7
184,力林,2015-04-16,17.3,13.1,24.9,0,13.7,9.6,3,3.9,23,42.8,8.7,1010,1009.6,1012.4,0,5.5,17.5
184,力林,2015-04-17,14.1,10.1,18,0,9.5,6.7,2.5,0.1,14,42.3,6.8,1015.8,1015.6,1018.2,0,2.5,17.2
184,力林,2015-04-18,17.9,13,24.1,27.9,11.6,5.9,2,10.7,33,65.4,13.8,1010.7,1009.5,1013.1,0,8,16.7
184,力林,2015-04-19,18.5,15.5,23.9,10.3,13.1,6.4,2.8,15.7,62,85,17.8,1002.7,1002.6,1005,0,9.8,18.1
184,力林,2015-04-20,12.9,12,15.5,2.9,9.4,5.7,3.1,12,91,94.8,14,1003.7,1001.4,1006.1,0,10,13.9
184,力林,2015-04-21,14.2,12.5,17.5,0,5,3.3,2,9.9,48,76.8,12.4,1014.6,1013.2,1017,0,4,18.1
184,力林,2015-04-22,15.5,11.1,21.2,0,11.6,8.1,3.2,2.3,15,45.4,7.8,1018.1,1018.5,1020.5,0,1.4,17.3
184,力林,2015-04-23,15.5,11.8,19.2,0,5.9,3.9,1.7,8.5,37,63.5,11.2,1020.1,1021.6,1022.5,0,3.5,19.1
184,力林,2015-04-24,17.3,13.4,22,0,9,6.2,2.7,6.6,23,51.1,9.9,1018.5,1019.5,1020.9,0,4.1,19.3
184,力林,2015-04-25,17.2,13.6,23.6,0,6.1,4.8,1.9,7.3,22,54.4,10.6,1018.6,1019.7,1021,0,0,22.1
184,力林,2015-04-26,18.8,14.1,23.1,0,6.6,4.4,1.8,3.9,23,37.8,8.2,1018,1019.1,1020.4,0,0.4,22.4
184,力林,2015-04-27,19.5,14.9,23.1,0,5.2,3.7,1.6,6.1,24,43,9.7,1014.8,1014.7,1017.2,0,2.5,24.4
184,力林,2015-04-28,20.7,17.9,25.3,1,14,8.3,3.1,15,52,70.5,17.1,1008,1008,1010.4,0,8.8,24.1
184,力林,2015-04-29,17.7,15.4,22.1,3.8,9.7,6.8,2.3,15.9,72,90,18,1007,1007,1009.4,0,9.8,18.4
184,力林,2015-04-30,16.4,15.3,18.2,9.1,9,5.2,2.8,15,84,92.4,17.1,1010.1,1009.7,1012.5,0,9.1,17.2
184,力林,2015-05-01,18,15.5,21.4,0,9,5.9,2.4,15.3,71,84.8,17.4,1011.8,1012.8,1014.2,0,5,20.4
184,力林,2015-05-02,18.3,14.5,23.2,24.8,9.4,5.2,1.8,16,63,87.6,18.2,1008.4,1006.5,1010.8,0,8.1,21.2
184,力林,2015-05-03,18.1,14.8,22,6.7,9.1,5.9,2.6,16.5,78,91,18.8,1003.4,1002.8,1005.8,0,8.5,20.7
184,力林,2015-05-04,16.5,13.3,21.7,0,9.8,6.1,3.8,10.1,42,68.1,12.6,1009.9,1009.1,1012.3,0,5.9,21.5
184,力林,2015-05-05,14.8,11,18.5,0,6.4,4.2,2.2,3.9,33,48.5,8.1,1011,1011.7,1013.4,0,2.6,20.8
184,力林,2015-05-06,15.3,13.2,17.8,0,6,4.5,1.6,4.6,28,49.5,8.6,1009.8,1011,1012.2,0,8.5,16.1
184,力林,2015-05-07,17.2,13.2,21.7,0,6.6,4.4,2.2,4.7,20,45.4,8.7,1011.1,1011.6,1013.5,0,0.3,22.5
184,力林,2015-05-08,17.7,14.5,20.8,0,4.9,3.6,1.8,5.3,16,46.1,9.4,1011.1,1011.6,1013.5,0,5,21.2
184,力林,2015-05-09,17.5,15,20.7,1.9,9,6.8,2.7,11.8,46,70,13.9,1010.7,1011.6,1013.1,0,3.6,24
184,力林,2015-05-10,18,14.7,23,0,11.8,6.6,3,13.8,48,76.9,15.9,1014.9,1015.3,1017.3,0,2.8,24.4
184,力林,2015-05-11,19.8,15.9,23.1,69.3,15.8,8.6,4.5,16.3,56,81.1,18.6,1007.7,1003.5,1010.1,0,9.8,19.5
184,力林,2015-05-12,18.5,14,21.6,4.3,18.1,10.1,6.6,10.3,40,61,12.6,1004.4,1004.7,1006.8,0,3,20
184,力林,2015-05-13,23,19.2,27.3,0,17.3,9.7,5.8,8,17,39.5,10.9,1007,1007.4,1009.3,0,1,24.6
184,力林,2015-05-14,23.8,19.4,29.4,0,12.2,6.7,2.6,15,28,59.6,17.6,1007,1007.7,1009.3,0,7.9,25.6
184,力林,2015-05-15,19.7,17.3,23,2.9,7.2,4.6,1.9,17.3,73,86.5,19.8,1007.3,1008.2,1009.7,0,8.1,24.6
184,力林,2015-05-16,19,16.6,22.1,0,5.3,3.8,2.1,11.1,44,61.6,13.4,1008.7,1008.9,1011.1,0,5.4,23.9
184,力林,2015-05-17,19.3,16.1,26.4,0,9.9,6.7,2,8.4,21,50.3,11.2,1008.7,1008.6,1011.1,0,6.5,22.9
184,力林,2015-05-18,16.2,14.9,19,35,8.4,5,1.9,14.4,58,90,16.4,1003.3,1001.7,1005.7,0,10,17.5
184,力林,2015-05-19,16.3,14.8,19.3,0,5.8,4.2,2,14.9,78,91.9,16.9,1005.4,1006.1,1007.8,0,5,21.6
184,力林,2015-05-20,17.4,14.7,22.1,0,8.7,5.7,3.2,12.2,37,73.4,14.4,1008.4,1008,1010.8,0,1.9,24.4
184,力林,2015-05-21,18.4,14.1,22.8,0,6.1,4.1,2.1,10.7,44,62,12.9,1013.9,1014.2,1016.3,0,3.9,24.6
184,力林,2015-05-22,19.8,17,24.1,0,5.3,3.9,1.9,10.5,26,57.1,12.9,1012.7,1013.1,1015.1,0,6.6,26.2
184,力林,2015-05-23,18.8,17.4,21.7,0,6.4,4.1,1.8,12.3,51,66.6,14.4,1009.2,1009.9,1011.6,0,8.6,25.4
184,力林,2015-05-24,20.2,17.7,23.5,0,5.3,4.4,2.1,11.3,32,57.3,13.4,1006.9,1007.9,1009.3,0,2.8,26.9
184,力林,2015-05-25,20.1,17.1,23.6,0,6.8,4.5,2.3,9.2,32,50.3,11.8,1008,1009,1010.4,0,0.4,26.6
184,力林,2015-05-26,19.2,15.7,23.7,0,5.8,4.2,1.8,14.2,43,73.4,16.3,1009.8,1010.8,1012.2,0,3.3,27.7
184,力林,2015-05-27,20.5,17.4,23.4,0,5.1,3.7,1.6,13.6,46,65.9,15.9,1008.2,1009.2,1010.5,0,7.5,24.8
184,力林,2015-05-28,22.6,18,27.6,0.9,14,7.5,3.6,13.4,36,58.5,15.5,1006,1006.9,1008.4,0,4.6,28.2
184,力林,2015-05-29,21.3,19,25.3,0,10.8,7.8,3.1,16.3,49,74.4,18.5,1005.2,1005.8,1007.6,0,6,30.1
184,力林,2015-05-30,18.9,17.8,20.9,4.2,8.7,4.8,1.7,17.3,77,91,19.7,1002.8,1003.5,1005.2,0,9.1,20.9
184,力林,2015-05-31,19.7,17.6,23,0,4.9,3.6,1.7,16.3,67,81.3,18.5,1006.4,1006.9,1008.8,0,3.9,26.7
184,力林,2015-06-01,20.6,17.6,24.8,0,6.9,5.1,2.1,16.3,59,77.4,18.6,1008.3,1009.7,1010.7,0,4.1,27.4
184,力林,2015-06-02,20.2,18.5,21.8,39.9,9.9,6.4,1.8,18.3,75,89.4,21.1,1005.4,1005.1,1007.8,0,9.5,22.6
184,力林,2015-06-03,21.4,18.5,25.5,1.1,9.3,5,2.5,14.3,45,66.3,16.5,1006.2,1005.3,1008.6,0,4.8,25
184,力林,2015-06-04,20.6,17.6,23.9,0,5.2,3.6,1.8,13.2,47,63.1,15.3,1008.4,1009,1010.8,0,3.1,26.3
184,力林,2015-06-05,17.2,15.4,22.2,14.3,6.6,4.8,1.9,14.2,49,83.6,16.3,1004.9,1005.6,1007.3,0,6.1,20
184,力林,2015-06-06,19.9,15.3,26.3,0,7.8,4.9,2,15.1,51,74.5,17.2,1010.8,1009.7,1013.2,0,1.1,23.3
184,力林,2015-06-07,21.7,18,26,0,10.5,6.4,1.9,15.5,46,68.9,17.6,1010.4,1010.6,1012.8,0,8.9,23.6
184,力林,2015-06-08,20.9,18.5,24,4.4,10.5,6.5,2.4,17.7,65,83.1,20.3,1004.2,1003.1,1006.6,0,9.9,21.9
184,力林,2015-06-09,21.2,18.5,24.2,0,4.4,3,1.4,18.7,74,86.4,21.6,1005.2,1005.7,1007.6,0,9,25.2
184,力林,2015-06-10,22.9,18.1,28.9,0,10.2,6,2.1,18.4,53,77.5,21.2,1004.7,1004.7,1007.1,0,7.6,25.6
184,力林,2015-06-11,22.6,20.2,26.5,0.9,7.7,4.4,1.7,20.5,76,88.4,24.1,1000.8,1001.8,1003.1,0,10,24.3
184,力林,2015-06-12,26,21.9,30.6,0,8.4,5.3,2.4,17.5,43,60.8,20.2,1003.2,1003.7,1005.5,0,5.1,29.8
184,力林,2015-06-13,24.1,21.5,28.7,0,9.8,5.7,1.8,17.4,43,67.1,19.9,1004.6,1004.9,1006.9,0,7.8,25.3
184,力林,2015-06-14,22.9,20.9,25.4,0,5.2,3.7,1.4,19.8,74,82.9,23.1,1005.2,1006.6,1007.5,0,7.4,30.3
184,力林,2015-06-15,22.8,20.9,25.3,0,6,4.2,2,19.1,68,80.5,22.1,1005.8,1007.2,1008.1,0,8.8,28.1
184,力林,2015-06-16,22.2,21.1,25.3,0.7,8.3,5.4,2.6,19.4,72,85,22.5,1004,1005,1006.4,0,8.5,27.5
184,力林,2015-06-17,20.6,19.6,21.6,15.4,10.5,5.3,2,18.5,77,88.5,21.3,1001.6,1001.9,1003.9,0,10,21.5
184,力林,2015-06-18,22,19.7,25.6,0.1,9.8,5,2.5,18.3,67,79.9,21,1002.8,1003.2,1005.1,0,8.4,23.1
184,力林,2015-06-19,22.9,19.9,25.8,0,7.2,5.1,2.1,18.3,61,76,21,1006.6,1006.9,1008.9,0,3.5,27.8
184,力林,2015-06-20,22,19.4,24.2,0,5.5,4.1,1.6,18.1,70,79.4,20.8,1007.6,1009.2,1010,0,8.1,24
184,力林,2015-06-21,22.1,20.5,24.6,2,6,4,2.3,18.3,67,80,21.1,1008.3,1009.1,1010.7,0,6.4,28.8
184,力林,2015-06-22,21.7,20.5,24.3,0.3,5.1,3.9,1.5,18.2,74,81.1,20.9,1008.4,1009.5,1010.8,0,9.3,22.9
184,力林,2015-06-23,23.5,20.9,26.9,0,11,5.5,2.4,19.7,65,79.9,23,1007.6,1008.5,1009.9,0,9.4,28.9
184,力林,2015-06-24,22.1,21.1,23.2,32.7,12.8,6.7,3.1,20.5,81,91.4,24.1,1005.5,1004.6,1007.9,0,10,22.5
184,力林,2015-06-25,23.6,21.5,25.9,7.9,13.1,6.1,3.3,21.5,76,88.6,25.7,998.7,996.9,1001,0,10,23.6
184,力林,2015-06-26,23.5,21.2,27.8,2.7,16.6,8.8,5.4,20.8,75,85,24.7,996.7,994.1,999,0,9.3,23.2
184,力林,2015-06-27,21.2,20.5,22.2,9.2,6,3.7,2,19.4,83,90.1,22.6,1004,1002.8,1006.4,0,9.4,21.1
184,力林,2015-06-28,22,19.8,25.9,0,10.9,5.4,3.2,17.6,60,77.1,20.1,1007.4,1008.2,1009.8,0,3.8,24
184,力林,2015-06-29,22.3,19.2,25.8,0,12.8,7.2,2.4,18.1,66,77.8,20.8,1004.9,1004.8,1007.2,0,7.5,24.5
